Primary_building_code,rooms_total,windows,windows_open,supplyFan_operational,supplyFan_partOperational,supplyFan_nonOperational,exhaustFan_operational,exhaustFan_partOperational,exhaustFan_nonOperational,unitVentilator_operational,unitVentilator_partOperational,unitVentilator_nonOperational
R069,176,77,0,61,0,1,147,5,3,1,0,0
X088,46,35,0,4,0,4,22,0,4,0,0,0
K023,87,67,0,3,0,0,69,0,7,0,0,0
Q811,79,62,0,4,0,1,45,0,3,0,0,0
K312,82,67,0,6,0,0,56,0,6,0,0,0
M195,188,74,0,38,2,46,110,6,48,1,0,0
Q209,71,66,0,54,0,0,44,0,7,0,0,0
Q046,64,60,0,4,0,0,62,0,2,0,0,0
Q595,46,43,0,0,0,0,5,0,1,0,0,0
Q009,37,37,0,0,0,0,5,0,1,1,0,0
X118,89,87,0,5,0,0,42,0,10,34,0,10
X170,63,34,0,13,0,5,14,2,32,18,1,2
X008,73,57,0,4,0,5,21,0,39,0,0,0
M128,99,91,0,2,0,0,56,0,18,15,0,0
K043,103,103,0,2,0,0,84,1,8,1,0,0
Q212,117,40,0,80,0,9,73,0,38,38,0,2
M011,89,81,0,14,4,37,53,1,19,0,0,0
R825,54,40,0,5,0,0,41,0,0,0,0,0
K207,70,75,0,2,0,2,52,0,1,3,0,26
K380,152,68,0,53,0,8,111,1,47,14,0,0
K600,201,180,0,11,2,9,33,2,17,23,1,40
M131,149,104,0,38,1,1,87,6,46,101,0,2
L001,0,28,0,1,0,3,5,0,3,18,2,2
Q025,139,72,0,7,0,0,123,0,2,39,1,4
Q196,94,69,0,20,6,5,47,5,32,0,0,0
M030,165,118,0,1,0,4,80,8,45,0,0,0
M057,88,79,0,4,0,0,74,0,0,0,0,0
K157,97,92,0,0,0,1,17,31,30,0,0,0
Q008,147,127,0,16,0,1,26,16,70,1,0,0
Q198,82,77,0,67,0,9,76,0,2,0,0,0
X401,133,113,0,8,0,0,114,0,3,0,0,0
K244,96,98,0,43,0,1,36,0,42,0,0,0
K994,33,14,0,11,0,0,29,0,4,15,1,0
M873,53,23,0,54,0,0,16,0,0,0,0,0
M142,120,56,0,39,0,1,106,0,7,0,0,1
X450,299,239,0,25,0,15,232,2,18,0,0,0
M371,26,26,0,0,0,0,0,0,0,0,0,0
K081,182,171,0,2,0,4,33,0,110,0,0,1
Q251,52,35,0,1,0,25,25,1,38,0,0,0
M660,60,64,0,15,0,0,0,0,0,59,1,1
M920,46,20,0,37,0,1,26,0,8,3,0,0
Q515,131,91,0,86,0,55,6,0,23,77,0,8
M877,75,59,0,46,1,21,15,0,9,36,0,15
M833,81,36,0,68,8,3,50,3,23,11,0,0
X032,96,84,0,24,0,0,4,0,49,0,0,0
K186,89,86,0,4,0,58,9,0,52,0,0,0
K376,69,54,0,49,3,3,61,13,1,48,0,0
M965,61,31,0,61,0,0,24,0,33,0,0,0
K261,86,75,0,6,0,0,68,0,1,0,0,0
Q136,75,72,0,2,0,2,9,1,44,38,0,6
K327,73,66,0,3,0,0,61,7,0,0,0,0
K243,97,82,0,3,0,9,76,0,1,0,0,0
X972,77,44,0,48,8,10,18,4,58,0,0,0
M101,121,126,0,5,0,2,53,0,35,1,0,0
M171,95,92,0,2,0,0,25,0,24,0,0,0
K034,47,52,0,0,0,0,3,0,0,0,0,0
K437,117,64,0,78,2,0,64,17,32,0,0,0
X660,116,106,0,3,1,3,7,1,27,0,0,0
Q171,74,72,0,34,12,1,51,4,0,0,0,0
K305,82,60,0,4,0,0,36,30,4,0,0,0
Q060,88,69,0,3,0,0,69,0,3,1,0,3
X046,137,106,0,36,20,45,36,40,44,29,0,3
R062,87,46,0,14,3,46,30,7,51,0,0,0
Q165,83,76,0,65,1,1,81,1,0,59,0,1
K165,68,64,0,1,0,45,44,0,3,0,0,0
K192,82,81,0,55,0,4,11,0,27,0,0,0
K650,132,122,0,4,1,0,89,1,29,0,0,0
Q080,83,70,0,11,0,19,46,1,17,0,0,0
X034,76,59,0,55,0,0,76,0,0,22,0,0
K857,61,41,0,61,0,0,12,0,32,0,0,0
M137,87,60,0,2,0,1,41,3,23,2,0,2
X012,134,109,0,1,32,5,1,43,17,0,0,0
Q722,111,58,0,95,3,3,97,4,7,0,0,0
K183,83,88,0,0,0,59,75,0,0,0,0,0
M218,121,92,0,105,0,0,120,0,0,0,0,0
M208,77,66,0,0,0,3,11,32,27,1,0,0
K902,73,67,0,7,0,0,28,24,13,49,0,3
K152,115,86,0,23,3,0,99,5,5,10,0,0
R027,143,110,0,12,0,1,116,2,2,0,0,0
K275,122,105,0,15,0,0,98,0,10,81,0,15
Q600,166,122,0,54,0,15,3,0,94,0,0,31
M015,71,61,0,0,0,0,44,3,1,0,0,0
K290,71,43,0,51,0,17,52,0,19,0,0,0
Q161,108,60,0,56,14,6,25,8,78,0,0,0
K078,161,113,0,0,0,0,151,0,2,0,0,0
Q152,99,98,0,34,0,65,72,0,27,0,0,0
Q695,125,63,0,104,4,6,93,7,29,3,0,0
M183,55,52,0,1,7,1,2,7,1,1,5,0
M234,67,46,0,48,0,0,49,0,17,3,1,0
K455,311,104,0,171,4,20,223,7,76,1,0,13
X028,125,120,0,12,0,0,4,0,34,1,0,0
X180,157,80,0,136,0,14,121,0,44,3,0,2
X156,111,88,0,3,0,0,49,0,38,0,0,0
X161,116,100,0,3,0,73,53,0,47,0,0,0
Q298,107,66,0,111,0,0,117,0,0,0,0,0
K179,78,79,0,1,0,0,23,0,20,0,0,0
K865,72,62,0,0,0,72,0,0,72,35,0,5
K189,67,88,0,0,0,2,1,1,89,0,0,0
K338,133,70,0,93,1,9,85,2,44,0,0,3
Q022,67,60,0,3,0,0,39,0,14,0,0,0
K149,93,95,0,5,0,0,12,0,2,0,0,0
M152,111,104,0,8,0,0,88,0,7,14,0,22
K123,79,90,0,0,0,90,0,0,29,0,0,0
M050,143,54,0,43,0,20,87,4,23,14,0,0
K299,74,73,0,22,1,0,55,3,3,10,0,11
Q047,32,28,0,12,5,1,18,4,7,1,0,5
X852,35,7,0,15,1,19,15,2,15,0,0,0
M661,47,47,0,14,0,0,45,0,2,2,0,0
R021,40,43,0,10,0,0,9,0,2,0,0,0
K260,61,51,0,4,0,0,46,0,1,0,0,0
Q315,120,83,0,90,0,0,97,0,17,1,0,0
M010,150,113,0,9,0,11,124,7,9,1,0,0
K313,134,68,0,76,5,19,60,0,61,60,0,0
Q452,205,120,0,80,0,30,31,0,145,104,0,0
Q144,138,98,0,40,1,4,83,0,29,5,0,26
K318,140,100,0,17,0,1,119,0,8,0,0,1
K135,59,65,0,24,0,3,11,0,40,0,0,0
K778,29,24,0,0,0,0,0,0,9,0,0,0
X061,81,77,0,3,0,22,7,0,52,1,0,1
K415,173,177,0,3,0,1,28,0,3,123,6,0
K124,41,40,0,0,0,1,6,0,0,0,0,0
Q242,54,33,0,38,0,1,48,0,7,0,0,0
M485,169,116,0,79,9,11,61,13,108,79,1,4
Q051,39,24,0,6,0,6,2,0,41,20,0,7
Q268,72,59,0,61,1,13,52,3,28,0,0,0
M043,124,121,0,12,0,2,18,1,22,83,0,10
K099,69,69,0,0,0,51,33,7,18,0,0,0
K505,229,172,0,23,3,11,34,4,12,56,3,52
K540,229,165,0,41,0,0,104,1,47,0,0,1
X790,279,153,0,150,0,48,98,0,134,0,0,2
X076,68,68,0,2,0,3,2,0,3,40,0,0
X039,83,76,0,3,0,0,20,0,7,0,0,0
X085,103,89,0,2,0,4,35,0,20,18,0,28
X405,310,171,0,102,4,33,150,9,113,0,0,0
X140,85,70,0,5,0,0,44,0,25,0,0,0
K056,77,68,0,2,0,0,60,2,14,0,0,0
Q336,77,70,0,14,0,8,24,0,22,0,0,0
K450,301,192,0,57,2,18,230,15,12,0,0,0
K177,84,82,0,1,0,44,8,0,27,4,0,5
K263,116,100,0,5,0,0,102,0,0,0,0,0
M189,126,103,0,44,0,38,68,0,40,0,0,0
X338,113,55,0,91,0,0,103,0,0,0,0,0
K196,109,101,0,1,0,59,10,0,70,0,0,4
Q169,75,55,0,3,0,0,60,0,2,0,0,0
K239,111,114,0,11,0,0,95,0,5,41,0,33
Q146,66,56,0,2,0,0,40,0,10,43,2,1
M895,43,23,0,42,0,0,19,0,0,0,0,0
K009,134,93,0,26,0,5,115,4,14,1,0,3
X137,126,50,0,103,1,5,15,1,100,0,0,0
M076,59,55,0,0,0,0,24,0,25,0,0,0
Q138,113,94,0,30,0,1,99,0,12,20,0,17
K228,103,102,0,4,0,5,3,0,31,0,0,21
K256,81,76,0,3,0,1,68,0,0,0,0,0
Q087,69,63,0,8,4,0,37,0,14,0,0,0
Q234,118,56,0,69,0,18,65,3,46,0,0,0
Q023,30,29,0,0,0,0,8,0,1,0,0,0
X362,152,111,0,96,9,21,75,41,29,0,0,0
X074,187,102,0,63,2,5,106,2,62,2,0,4
X169,70,42,0,36,0,7,6,1,80,0,0,0
K525,207,143,0,49,0,5,157,5,20,0,0,0
Q036,53,51,0,25,0,6,23,0,14,0,0,0
R026,35,32,0,6,0,0,5,0,0,0,0,0
K240,104,100,0,68,0,1,28,1,4,0,0,0
R061,133,96,0,9,0,0,92,0,18,0,0,0
M812,41,23,0,34,0,0,23,0,2,0,0,0
X080,138,132,0,30,3,0,51,4,33,2,0,60
R058,124,113,0,78,0,1,119,0,1,0,0,0
K320,156,116,0,13,0,1,53,6,59,0,0,0
M276,103,70,0,80,1,4,29,5,75,2,0,0
X108,42,42,0,1,0,0,11,0,0,23,0,1
R861,112,70,0,67,2,0,109,0,0,0,0,0
Q158,126,103,0,6,0,1,80,11,7,0,0,1
Q254,98,68,0,53,0,19,53,0,44,0,0,0
K203,85,85,0,5,0,0,50,1,13,52,0,0
M158,107,95,0,1,1,65,49,2,50,0,0,0
Q104,73,66,0,5,0,0,56,0,2,40,0,0
K148,85,76,0,1,0,0,38,0,15,0,0,0
K032,70,70,0,40,0,0,50,5,0,0,0,0
Q777,41,35,0,3,0,0,17,0,8,0,0,0
K625,173,105,0,0,0,133,0,0,165,0,0,0
K914,106,59,0,71,0,14,34,1,57,0,0,0
Q053,153,105,0,22,0,4,111,2,20,2,0,0
K164,87,86,0,0,0,0,6,0,2,0,0,0
Q106,29,31,0,0,0,0,20,0,0,12,0,0
X127,162,163,0,6,0,2,41,0,76,0,0,0
X018,75,60,0,47,0,1,48,0,4,0,0,0
Q038,36,39,0,32,0,0,34,0,0,16,1,2
M028,104,80,0,3,0,1,56,0,22,0,0,0
R829,58,42,0,35,5,0,32,2,22,0,0,0
K184,63,73,0,7,43,5,44,4,4,0,0,0
Q089,154,110,0,5,0,33,37,9,53,0,0,0
